date,description,amount,reference
2024-11-01,RENT PAYMENT - PROPERTY MGT #0001,22308.29,BNK20240001
2024-11-05,OFFICE SUPPLIES - STAPLES #0002,-40817.3,BNK20240002
2024-11-29,DIVIDEND RECEIPT #0003,28271.92,BNK20240003
2024-11-14,PAYROLL DISBURSEMENT #0004,-66089.79,BNK20240004
2024-11-07,INSURANCE PREMIUM - MARSH #0005,-75232.44,BNK20240005
2024-11-01,DIVIDEND RECEIPT #0006,856.85,BNK20240006
2024-11-21,DIVIDEND RECEIPT #0007,-48185.98,BNK20240007
2024-11-15,LOAN REPAYMENT #0008,-12876.83,BNK20240008
2024-11-28,VENDOR PAYMENT - ACME SUPPLIES #0009,-35489.49,BNK20240009
2024-11-06,AUDIT SERVICES - DELOITTE #0010,41409.18,BNK20240010
2024-11-05,CONSULTING FEE - KPMG #0011,-25559.92,BNK20240011
2024-11-11,OFFICE SUPPLIES - STAPLES #0012,73154.09,BNK20240012
2024-11-04,MARKETING EXPENSE - WPP #0013,-65160.67,BNK20240013
2024-11-20,RENT PAYMENT - PROPERTY MGT #0014,55599.1,BNK20240014
2024-11-24,TRAINING EXPENSE - COURSERA #0015,49140.52,BNK20240015
2024-11-30,LEGAL FEES - LINKLATERS #0016,5796.49,BNK20240016
2024-11-10,INTERCOMPANY TRANSFER #0017,-67391.97,BNK20240017
2024-11-12,LOAN REPAYMENT #0018,61672.28,BNK20240018
2024-11-03,PAYROLL DISBURSEMENT #0019,-49233.83,BNK20240019
2024-11-25,EQUIPMENT LEASE - DELL #0020,25802.13,BNK20240020
2024-11-28,INSURANCE PREMIUM - MARSH #0021,77635.44,BNK20240021
2024-11-13,RENT PAYMENT - PROPERTY MGT #0022,58637.39,BNK20240022
2024-11-27,MARKETING EXPENSE - WPP #0023,-7454.35,BNK20240023
2024-11-12,CONSULTING FEE - KPMG #0024,-53975.34,BNK20240024
2024-11-23,UTILITY PAYMENT - ENERGY CO #0025,27228.03,BNK20240025
2024-11-06,DIVIDEND RECEIPT #0026,17460.96,BNK20240026
2024-11-06,TRAINING EXPENSE - COURSERA #0027,36660.29,BNK20240027
2024-11-30,DIVIDEND RECEIPT #0028,-19287.13,BNK20240028
2024-11-11,PAYROLL DISBURSEMENT #0029,-44861.57,BNK20240029
2024-11-02,MAINTENANCE SERVICE - OTIS #0030,-43352.31,BNK20240030
2024-11-03,CONSULTING FEE - KPMG #0031,-15813.63,BNK20240031
2024-11-19,MAINTENANCE SERVICE - OTIS #0032,66101.78,BNK20240032
2024-11-16,LEGAL FEES - LINKLATERS #0033,-45979.75,BNK20240033
2024-11-21,TRAINING EXPENSE - COURSERA #0034,61549.3,BNK20240034
2024-11-05,INSURANCE PREMIUM - MARSH #0035,-57140.55,BNK20240035
2024-11-18,RENT PAYMENT - PROPERTY MGT #0036,39198.24,BNK20240036
2024-11-14,LOAN REPAYMENT #0037,39522.21,BNK20240037
2024-11-08,TRAVEL REIMBURSEMENT #0038,-16095.92,BNK20240038
2024-11-03,PAYROLL DISBURSEMENT #0039,1524.21,BNK20240039
2024-11-05,SOFTWARE LICENSE - ADOBE #0040,57776.47,BNK20240040
2024-11-14,INTERCOMPANY TRANSFER #0041,46732.7,BNK20240041
2024-11-13,INTERCOMPANY TRANSFER #0042,-69835.57,BNK20240042
2024-11-17,RENT PAYMENT - PROPERTY MGT #0043,79379.42,BNK20240043
2024-11-28,VENDOR PAYMENT - ACME SUPPLIES #0044,75372.54,BNK20240044
2024-11-04,DIVIDEND RECEIPT #0045,28845.35,BNK20240045
2024-11-25,MAINTENANCE SERVICE - OTIS #0046,40140.45,BNK20240046
2024-11-14,SOFTWARE LICENSE - ADOBE #0047,-62151.65,BNK20240047
2024-11-24,RENT PAYMENT - PROPERTY MGT #0048,-7404.21,BNK20240048
2024-11-25,SOFTWARE LICENSE - ADOBE #0049,75502.1,BNK20240049
2024-11-04,EQUIPMENT LEASE - DELL #0050,1229.07,BNK20240050
