date,description,amount,reference
2024-10-03,OFFICE SUPPLIES - STAPLES OCT#0001,-26363.24,JNL2024OCT0001
2024-10-25,MAINTENANCE SERVICE - OTIS OCT#0002,18035.55,JNL2024OCT0002
2024-10-05,INSURANCE PREMIUM - MARSH OCT#0003,-18504.6,JNL2024OCT0003
2024-10-19,TRAINING EXPENSE - COURSERA OCT#0004,-21589.06,JNL2024OCT0004
2024-10-07,RENT PAYMENT - PROPERTY MGT OCT#0005,-2242.32,JNL2024OCT0005
2024-10-29,UTILITY PAYMENT - ENERGY CO OCT#0006,-3412.16,JNL2024OCT0006
2024-10-29,DIVIDEND RECEIPT OCT#0007,-24125.48,JNL2024OCT0007
2024-10-22,DIVIDEND RECEIPT OCT#0008,20161.66,JNL2024OCT0008
2024-10-04,INSURANCE PREMIUM - MARSH OCT#0009,-20021.33,JNL2024OCT0009
2024-10-17,BANK CHARGES OCT#0010,-17175.16,JNL2024OCT0010
2024-10-14,PAYROLL DISBURSEMENT OCT#0011,-20121.77,JNL2024OCT0011
2024-10-02,LEGAL FEES - LINKLATERS OCT#0012,-14087.82,JNL2024OCT0012
2024-10-27,TRAINING EXPENSE - COURSERA OCT#0013,-12885.05,JNL2024OCT0013
2024-10-24,DIVIDEND RECEIPT OCT#0014,9712.28,JNL2024OCT0014
2024-10-17,TRAVEL REIMBURSEMENT OCT#0015,-18606.13,JNL2024OCT0015
2024-10-08,PAYROLL DISBURSEMENT OCT#0016,4750.82,JNL2024OCT0016
2024-10-19,PAYROLL DISBURSEMENT OCT#0017,14878.53,JNL2024OCT0017
2024-10-03,PAYROLL DISBURSEMENT OCT#0018,5050.66,JNL2024OCT0018
2024-10-18,INTEREST INCOME OCT#0019,-20554.04,JNL2024OCT0019
2024-10-18,UTILITY PAYMENT - ENERGY CO OCT#0020,21080.55,JNL2024OCT0020
